segment,delta,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.0,-0.07421,-0.009474,-0.06873,-0.295856,-0.107246,-0.008163,0.681393,0.01667
Commodity-elite,0.0,-0.304066,-0.09733,-0.219171,-0.340832,-0.088385,-0.153309,0.178198,-0.0
Mid,0.0,-0.3394,-0.098218,-0.169979,-0.214709,0.067996,-0.206716,-0.303797,-0.0
Small,0.0,-0.284313,-0.002545,0.179049,-0.032131,0.214985,-0.002836,0.046789,-0.0
Premium,0.1,-0.075801,-0.012166,-0.072537,-0.297528,-0.109366,-0.01254,0.674221,0.018804
Commodity-elite,0.1,-0.310234,-0.13704,-0.256174,-0.366455,-0.12382,-0.196473,0.157591,-0.0
Mid,0.1,-0.351486,-0.126139,-0.198643,-0.227699,0.05033,-0.226402,-0.364954,-0.0
Small,0.1,-0.304281,-0.034124,0.157989,-0.022137,0.22753,-0.034076,-0.034829,-0.0
Premium,0.2,-0.077602,-0.015345,-0.076963,-0.299515,-0.111886,-0.017616,0.666081,0.02132
Commodity-elite,0.2,-0.316015,-0.178514,-0.294302,-0.39385,-0.161708,-0.240412,0.13809,-0.0
Mid,0.2,-0.362668,-0.156637,-0.229295,-0.244208,0.027877,-0.244617,-0.422829,-0.0
Small,0.2,-0.324333,-0.071495,0.129583,-0.017815,0.232956,-0.065449,-0.119343,-0.0
Premium,0.3,-0.079608,-0.01905,-0.082037,-0.301847,-0.114842,-0.023421,0.65699,0.024251
Commodity-elite,0.3,-0.321394,-0.221412,-0.333263,-0.422775,-0.201711,-0.284805,0.119777,-0.0
Mid,0.3,-0.37283,-0.189668,-0.261858,-0.264412,0.0004,-0.261171,-0.476546,-0.0
Small,0.3,-0.344096,-0.115628,0.09198,-0.021901,0.227826,-0.09637,-0.205293,-0.0
Premium,0.4,-0.081808,-0.023314,-0.087776,-0.30455,-0.118268,-0.029969,0.646991,0.02762
Commodity-elite,0.4,-0.326364,-0.265328,-0.372717,-0.452926,-0.243408,-0.329296,0.102711,-0.0
Mid,0.4,-0.381856,-0.22508,-0.296159,-0.288352,-0.032159,-0.299161,-0.525185,-0.0
Small,0.4,-0.363128,-0.167402,0.0433,-0.037579,0.208146,-0.126146,-0.290704,-0.0
Premium,0.5,-0.084187,-0.028161,-0.094184,-0.307641,-0.122188,-0.037262,0.636145,0.031447
Commodity-elite,0.5,-0.330926,-0.309812,-0.412298,-0.483951,-0.286315,-0.373508,0.086921,-0.0
Mid,0.5,-0.38963,-0.262589,-0.331921,-0.315907,-0.069634,-0.33808,-0.567805,-0.0
Small,0.5,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,0.6,-0.086727,-0.033603,-0.101256,-0.311136,-0.126619,-0.045288,0.624529,0.035742
Commodity-elite,0.6,-0.335087,-0.354383,-0.451621,-0.515466,-0.3299,-0.417058,0.072414,-0.0
Mid,0.6,-0.396047,-0.301753,-0.368738,-0.346739,-0.111565,-0.377199,-0.603507,-0.0
Small,0.6,-0.397368,-0.29397,-0.090512,-0.11335,0.113029,-0.179715,-0.451427,-0.0
Premium,0.7,-0.089407,-0.039647,-0.108974,-0.315042,-0.131571,-0.054023,0.612227,0.040509
Commodity-elite,0.7,-0.338863,-0.398539,-0.490289,-0.547061,-0.373594,-0.459556,0.059161,-0.0
Mid,0.7,-0.401173,-0.341414,-0.405608,-0.379629,-0.156295,-0.4156,-0.632372,-0.0
Small,0.7,-0.414514,-0.354333,-0.156179,-0.153276,0.062908,-0.206541,-0.535599,-0.0
Premium,0.8,-0.092207,-0.046287,-0.117312,-0.319359,-0.137044,-0.063433,0.599326,0.045742
Commodity-elite,0.8,-0.3423,-0.441615,-0.527779,-0.578182,-0.416635,-0.500494,0.047024,-0.0
Mid,0.8,-0.405461,-0.379056,-0.440386,-0.411715,-0.199932,-0.451414,-0.656755,-0.0
Small,0.8,-0.432125,-0.395824,-0.198254,-0.170547,0.041228,-0.234094,-0.62482,-0.0
