segment,eps,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.2,-0.076655,-0.012785,-0.073804,-0.297838,-0.10976,-0.014061,0.670362,0.018988
Commodity-elite,0.2,-0.308692,-0.166496,-0.379639,-0.472793,-0.270884,-0.32921,0.162762,-0.0
Mid,0.2,-0.338179,-0.142949,-0.383974,-0.418247,-0.208816,-0.370792,-0.297695,-0.0
Small,0.2,-0.380933,-0.22735,-0.473531,-0.500376,-0.372813,-0.469401,-0.373102,-0.0
Premium,0.4,-0.076655,-0.012785,-0.058912,-0.286549,-0.095446,0.001791,0.670362,0.018988
Commodity-elite,0.4,-0.308692,-0.166496,-0.332102,-0.432394,-0.215013,-0.277808,0.162762,-0.0
Mid,0.4,-0.338179,-0.142949,-0.330961,-0.368184,-0.14073,-0.316645,-0.297695,-0.0
Small,0.4,-0.380933,-0.22735,-0.420537,-0.450085,-0.309681,-0.415992,-0.373102,-0.0
Premium,0.6,-0.076655,-0.012785,-0.043781,-0.275078,-0.080902,0.017898,0.670362,0.018988
Commodity-elite,0.6,-0.308692,-0.166496,-0.280922,-0.3889,-0.154861,-0.222468,0.162762,-0.0
Mid,0.6,-0.338179,-0.142949,-0.273387,-0.313813,-0.066785,-0.257839,-0.297695,-0.0
Small,0.6,-0.380933,-0.22735,-0.36221,-0.394732,-0.240195,-0.357206,-0.373102,-0.0
Premium,0.8,-0.076655,-0.012785,-0.028407,-0.263422,-0.066125,0.034264,0.670362,0.018988
Commodity-elite,0.8,-0.308692,-0.166496,-0.22582,-0.342072,-0.0901,-0.162887,0.162762,-0.0
Mid,0.8,-0.338179,-0.142949,-0.210858,-0.254763,0.013522,-0.204726,-0.297695,-0.0
Small,0.8,-0.380933,-0.22735,-0.298011,-0.333807,-0.163715,-0.292504,-0.373102,-0.0
Premium,1.0,-0.076655,-0.012785,-0.012785,-0.251579,-0.051109,0.050894,0.670362,0.018988
Commodity-elite,1.0,-0.308692,-0.166496,-0.166496,-0.291656,-0.020376,-0.098741,0.162762,-0.0
Mid,1.0,-0.338179,-0.142949,-0.142949,-0.190631,0.100741,-0.204726,-0.297695,-0.0
Small,1.0,-0.380933,-0.22735,-0.22735,-0.266749,-0.079536,-0.221289,-0.373102,-0.0
Premium,1.25,-0.076655,-0.012785,0.007096,-0.236507,-0.032001,0.072057,0.670362,0.018988
Commodity-elite,1.25,-0.308692,-0.166496,-0.085909,-0.22317,0.07434,-0.079995,0.162762,-0.0
Mid,1.25,-0.338179,-0.142949,-0.049785,-0.102651,0.220394,-0.204726,-0.297695,-0.0
Small,1.25,-0.380933,-0.22735,-0.12894,-0.173356,0.037702,-0.154002,-0.373102,-0.0
Premium,1.5,-0.076655,-0.012785,0.027377,-0.221132,-0.012507,0.093646,0.670362,0.018988
Commodity-elite,1.5,-0.308692,-0.166496,0.002471,-0.148061,0.178213,-0.079995,0.162762,-0.0
Mid,1.5,-0.338179,-0.142949,0.053505,-0.005108,0.353054,-0.204726,-0.297695,-0.0
Small,1.5,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,2.0,-0.076655,-0.012785,0.069172,-0.189446,0.027666,0.107497,0.670362,0.018988
Commodity-elite,2.0,-0.308692,-0.166496,0.205691,0.024643,0.41706,-0.079995,0.162762,-0.0
Mid,2.0,-0.338179,-0.142949,0.29499,0.222942,0.663201,-0.204726,-0.297695,-0.0
Small,2.0,-0.380933,-0.22735,0.248087,0.184445,0.486857,-0.154002,-0.373102,-0.0
