segment,g,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,2,-0.053117,-0.010038,-0.052333,-0.199338,-0.074234,-0.013132,0.644289,0.009898
Commodity-elite,2,-0.222784,-0.190735,-0.268344,-0.317498,-0.176291,-0.241733,0.068864,-0.0
Mid,2,-0.247763,-0.130162,-0.178308,-0.180751,-0.016902,-0.177368,-0.417905,-0.0
Small,2,-0.304448,-0.24101,-0.089937,-0.051407,0.079433,-0.162398,-0.659378,-0.0
Premium,3,-0.068434,-0.011835,-0.066315,-0.264998,-0.097952,-0.013333,0.664657,0.015575
Commodity-elite,3,-0.280001,-0.174905,-0.276503,-0.363589,-0.162618,-0.229359,0.137236,-0.0
Mid,3,-0.308274,-0.1383,-0.199534,-0.228532,0.002908,-0.190733,-0.328251,-0.0
Small,3,-0.355412,-0.232065,-0.043503,-0.060203,0.137649,-0.156975,-0.445345,-0.0
Premium,4,-0.076655,-0.012785,-0.073804,-0.297838,-0.10976,-0.014061,0.670362,0.018988
Commodity-elite,4,-0.308692,-0.166496,-0.280922,-0.3889,-0.154861,-0.222468,0.162762,-0.0
Mid,4,-0.338179,-0.142949,-0.210858,-0.254763,0.013522,-0.204726,-0.297695,-0.0
Small,4,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,6,-0.085293,-0.013762,-0.081651,-0.330679,-0.121517,-0.015244,0.674212,0.022816
Commodity-elite,6,-0.337451,-0.157731,-0.285606,-0.415948,-0.146385,-0.215045,0.185133,-0.0
Mid,6,-0.367865,-0.148054,-0.222727,-0.282733,0.024668,-0.218915,-0.272919,-0.0
Small,6,-0.406491,-0.222459,0.009276,-0.078883,0.204537,-0.150845,-0.314737,-0.0
Premium,10,-0.092526,-0.014556,-0.088201,-0.35695,-0.130878,-0.016534,0.676277,0.026194
Commodity-elite,10,-0.360513,-0.150447,-0.289567,-0.438974,-0.13902,-0.208685,0.201533,-0.0
Mid,10,-0.391465,-0.152511,-0.232654,-0.306465,0.033998,-0.230428,-0.256225,-0.0
Small,10,-0.426973,-0.21841,0.032503,-0.09007,0.234262,-0.148186,-0.275432,-0.0
