segment,gap,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.7,-0.093087,-0.055402,-0.126426,-0.325733,-0.145126,-0.073278,0.595261,0.05595
Commodity-elite,0.7,-0.348585,-0.411203,-0.503969,-0.552638,-0.381308,-0.477622,0.024641,-0.0
Mid,0.7,-0.449368,-0.386344,-0.455375,-0.381819,-0.159273,-0.483666,-0.920063,-0.0
Small,0.7,-0.416148,-0.345771,-0.143793,-0.138443,0.081529,-0.209098,-0.543759,-0.0
Premium,0.8,-0.086907,-0.036149,-0.103765,-0.312924,-0.128885,-0.047989,0.623703,0.038605
Commodity-elite,0.8,-0.337528,-0.33538,-0.43631,-0.500103,-0.308653,-0.401775,0.063857,-0.0
Mid,0.8,-0.415508,-0.299243,-0.370605,-0.326986,-0.0847,-0.387382,-0.714778,-0.0
Small,0.8,-0.403862,-0.302978,-0.097239,-0.11032,0.116833,-0.189875,-0.483005,-0.0
Premium,0.9,-0.081808,-0.023314,-0.087776,-0.30455,-0.118268,-0.029969,0.646991,0.02762
Commodity-elite,0.9,-0.326364,-0.265328,-0.372717,-0.452926,-0.243408,-0.329296,0.102711,-0.0
Mid,0.9,-0.381856,-0.22508,-0.296159,-0.288352,-0.032159,-0.299161,-0.525185,-0.0
Small,0.9,-0.392145,-0.263622,-0.055502,-0.087131,0.145942,-0.171543,-0.426291,-0.0
Premium,1.0,-0.077731,-0.014797,-0.076553,-0.299106,-0.111366,-0.017205,0.665497,0.020609
Commodity-elite,1.0,-0.315226,-0.201409,-0.313653,-0.411151,-0.185634,-0.260873,0.140763,-0.0
Mid,1.0,-0.350817,-0.165123,-0.234234,-0.26276,0.002646,-0.225312,-0.36153,-0.0
Small,1.0,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,1.1,-0.074578,-0.009159,-0.068729,-0.295576,-0.106891,-0.008237,0.679738,0.016103
Commodity-elite,1.1,-0.304211,-0.143593,-0.259251,-0.374537,-0.134998,-0.19684,0.177717,-0.0
Mid,1.1,-0.321872,-0.116166,-0.182227,-0.246295,0.025039,-0.178163,-0.217553,-0.0
Small,1.1,-0.370167,-0.193856,0.01578,-0.052494,0.189423,-0.137158,-0.322982,-0.0
