segment,inhouse_adoption,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.0,-0.070186,-0.002519,-0.058931,-0.291527,-0.101757,0.003095,0.699475,0.010941
Commodity-elite,0.0,-0.250317,0.071674,-0.044977,-0.251582,0.035046,0.030746,0.349561,-0.0
Mid,0.0,-0.237882,-0.007202,-0.059703,-0.228878,0.048726,-0.041346,0.160199,-0.0
Small,0.0,-0.334807,-0.093816,0.111073,-0.018697,0.231848,-0.081837,-0.164556,-0.0
Premium,0.25,-0.07158,-0.004488,-0.061916,-0.292713,-0.103262,-0.00037,0.69322,0.012457
Commodity-elite,0.25,-0.268188,0.013015,-0.105922,-0.282232,-0.007342,-0.010475,0.294152,-0.0
Mid,0.25,-0.263648,-0.03593,-0.09317,-0.230302,0.046789,-0.083317,0.05006,-0.0
Small,0.25,-0.345737,-0.12303,0.084198,-0.026437,0.222132,-0.098936,-0.21255,-0.0
Premium,0.5,-0.073175,-0.006893,-0.065468,-0.294179,-0.10512,-0.004478,0.686055,0.014324
Commodity-elite,0.5,-0.283279,-0.047011,-0.165881,-0.316269,-0.054414,-0.084469,0.246172,-0.0
Mid,0.5,-0.290914,-0.070671,-0.13242,-0.235302,0.03999,-0.127733,-0.071842,-0.0
Small,0.5,-0.357023,-0.154826,0.054018,-0.036925,0.208967,-0.116593,-0.263011,-0.0
Premium,0.75,-0.075202,-0.010214,-0.070223,-0.296231,-0.107721,-0.009954,0.676923,0.016937
Commodity-elite,0.75,-0.299008,-0.118027,-0.23486,-0.358738,-0.113148,-0.167799,0.194945,-0.0
Mid,0.75,-0.319875,-0.113024,-0.178836,-0.245393,0.026266,-0.17491,-0.207903,-0.0
Small,0.75,-0.36873,-0.189489,0.02012,-0.050611,0.191786,-0.13491,-0.316363,-0.0
Premium,1.0,-0.077731,-0.014797,-0.076553,-0.299106,-0.111366,-0.017205,0.665497,0.020609
Commodity-elite,1.0,-0.315226,-0.201409,-0.313653,-0.411151,-0.185634,-0.260873,0.140763,-0.0
Mid,1.0,-0.350817,-0.165123,-0.234234,-0.26276,0.002646,-0.225312,-0.36153,-0.0
Small,1.0,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,1.25,-0.08082,-0.021116,-0.084936,-0.303134,-0.116474,-0.02675,0.651483,0.025789
Commodity-elite,1.25,-0.331708,-0.29808,-0.402588,-0.474811,-0.273675,-0.363489,0.084204,-0.0
Mid,1.25,-0.384165,-0.229862,-0.301025,-0.290623,-0.035247,-0.305026,-0.537776,-0.0
Small,1.25,-0.393711,-0.268799,-0.060933,-0.090034,0.142297,-0.173994,-0.433806,-0.0
