segment,kappa,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,2,-0.055395,-0.105833,-0.145684,-0.366908,-0.19733,-0.08669,0.765097,0.068559
Commodity-elite,2,-0.277265,-0.235192,-0.328348,-0.454025,-0.244928,-0.260313,0.265427,-0.0
Mid,2,-0.341103,-0.304209,-0.359908,-0.392838,-0.174259,-0.347243,-0.312326,-0.0
Small,2,-0.269146,-0.110044,0.041006,-0.163183,0.050472,0.020893,0.10718,-0.0
Premium,4,-0.081808,-0.023314,-0.087776,-0.30455,-0.118268,-0.029969,0.646991,0.02762
Commodity-elite,4,-0.326364,-0.265328,-0.372717,-0.452926,-0.243408,-0.329296,0.102711,-0.0
Mid,4,-0.381856,-0.22508,-0.296159,-0.288352,-0.032159,-0.299161,-0.525185,-0.0
Small,4,-0.314609,-0.243751,-0.086527,-0.216994,-0.017078,-0.066455,-0.07803,-0.0
Premium,6,-0.082927,-0.006747,-0.073206,-0.29258,-0.103093,-0.014707,0.641895,0.016081
Commodity-elite,6,-0.36019,-0.180661,-0.314695,-0.370725,-0.129725,-0.284363,-0.017328,-0.0
Mid,6,-0.423911,-0.144001,-0.233396,-0.16831,0.131099,-0.34438,-0.764287,-0.0
Small,6,-0.353041,-0.2443,-0.060469,-0.146818,0.071016,-0.110363,-0.245099,-0.0
Premium,8,-0.081298,-0.00232,-0.067753,-0.289679,-0.099415,-0.008573,0.64931,0.01265
Commodity-elite,8,-0.36729,-0.127085,-0.273135,-0.325072,-0.066589,-0.245018,-0.043432,-0.0
Mid,8,-0.437908,-0.10142,-0.19921,-0.109588,0.21096,-0.36718,-0.848826,-0.0
Small,8,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
