segment,omega,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.0,-0.082788,-0.028861,-0.093731,-0.308352,-0.123089,-0.036499,0.642528,0.033287
Commodity-elite,0.0,-0.327413,-0.204157,-0.320911,-0.40682,-0.179645,-0.274403,0.09909,-0.0
Mid,0.0,-0.356764,-0.135531,-0.20855,-0.230988,0.045857,-0.235,-0.392113,-0.0
Small,0.0,-0.370622,-0.136306,0.088689,0.016248,0.275716,-0.137869,-0.32508,-0.0
Premium,0.25,-0.080767,-0.022919,-0.086579,-0.304426,-0.118112,-0.028487,0.651725,0.027897
Commodity-elite,0.25,-0.322448,-0.193016,-0.309376,-0.401165,-0.171823,-0.259685,0.116168,-0.0
Mid,0.25,-0.351995,-0.136839,-0.208579,-0.236676,0.038121,-0.227232,-0.367561,-0.0
Small,0.25,-0.374069,-0.158089,0.064151,-0.001186,0.25383,-0.143263,-0.341042,-0.0
Premium,0.5,-0.079119,-0.018552,-0.081181,-0.301567,-0.114487,-0.022411,0.659208,0.02401
Commodity-elite,0.5,-0.317672,-0.183158,-0.298972,-0.396399,-0.165233,-0.24623,0.132467,-0.0
Mid,0.5,-0.347315,-0.138581,-0.209039,-0.242589,0.030079,-0.219609,-0.343688,-0.0
Small,0.5,-0.376986,-0.180646,0.038061,-0.021111,0.228818,-0.147827,-0.354623,-0.0
Premium,0.75,-0.077768,-0.015281,-0.077037,-0.299445,-0.111796,-0.017728,0.665327,0.021146
Commodity-elite,0.75,-0.313087,-0.174376,-0.289534,-0.392356,-0.159641,-0.233871,0.147991,-0.0
Mid,0.75,-0.342714,-0.140646,-0.209826,-0.248639,0.021851,-0.212114,-0.320425,-0.0
Small,0.75,-0.379294,-0.2038,0.0106,-0.043465,0.200757,-0.151437,-0.365411,-0.0
Premium,1.0,-0.076655,-0.012785,-0.073804,-0.297838,-0.10976,-0.014061,0.670362,0.018988
Commodity-elite,1.0,-0.308692,-0.166496,-0.280922,-0.3889,-0.154861,-0.222468,0.162762,-0.0
Mid,1.0,-0.338179,-0.142949,-0.210858,-0.254763,0.013522,-0.204726,-0.297695,-0.0
Small,1.0,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,1.5,-0.075001,-0.009418,-0.069314,-0.295696,-0.107043,-0.008946,0.677828,0.016126
Commodity-elite,1.5,-0.300501,-0.152946,-0.26578,-0.383339,-0.147171,-0.202139,0.190018,-0.0
Mid,1.5,-0.329279,-0.148001,-0.213411,-0.267031,-0.003163,-0.192788,-0.253649,-0.0
Small,1.5,-0.382587,-0.273171,-0.074995,-0.11981,0.10492,-0.15659,-0.380886,-0.0
