segment,theta_mult,theta,margin0,price,book,revenue,assoc_hours,partner_hours,ppp,lam,dev_gain
Premium,0.6,0.78,,,,,,,,,
Commodity-elite,0.6,1.5,0.351744,-0.324212,-0.137175,-0.262356,-0.358725,-0.113131,-0.210186,0.110118,-0.0
Mid,0.6,0.9,0.708469,,,,,,,,
Small,0.6,0.93,0.676175,-0.44628,-0.154478,0.136266,0.205586,0.513395,-0.256241,-0.69869,-0.0
Premium,0.8,1.04,0.944383,-0.288153,-0.000148,-0.238193,-0.250872,-0.050212,-0.234812,-0.452227,0.017733
Commodity-elite,0.8,2.0,0.299135,-0.315649,-0.153271,-0.272461,-0.375424,-0.136225,-0.216722,0.139329,-0.0
Mid,0.8,1.2,0.584285,-0.368535,-0.11468,-0.192449,-0.200717,0.087025,-0.254174,-0.453708,-0.0
Small,0.8,1.24,0.559,-0.407946,-0.197112,0.043456,0.03543,0.299795,-0.196265,-0.503051,-0.0
Premium,1.0,1.3,0.758212,-0.076655,-0.012785,-0.073804,-0.297838,-0.10976,-0.014061,0.670362,0.018988
Commodity-elite,1.0,2.5,0.260215,-0.308692,-0.166496,-0.280922,-0.3889,-0.154861,-0.222468,0.162762,-0.0
Mid,1.0,1.5,0.497143,-0.338179,-0.142949,-0.210858,-0.254763,0.013522,-0.204726,-0.297695,-0.0
Small,1.0,1.55,0.476438,-0.380933,-0.22735,-0.017995,-0.068069,0.169871,-0.154002,-0.373102,-0.0
Premium,1.25,1.625,0.608312,-0.060598,-0.01491,-0.062962,-0.301762,-0.114733,0.000718,0.742161,0.024322
Commodity-elite,1.25,3.125,0.223815,-0.301861,-0.179605,-0.289441,-0.402049,-0.173046,-0.228481,0.185516,-0.0
Mid,1.25,1.875,0.419025,-0.310806,-0.169051,-0.228666,-0.30051,-0.048694,-0.201033,-0.16453,-0.0
Small,1.25,1.9375,0.402187,-0.357561,-0.253513,-0.068665,-0.148309,0.069143,-0.117435,-0.26544,-0.0
Premium,1.5,1.95,0.5079,-0.054303,-0.015814,-0.058807,-0.303334,-0.116727,0.0064,0.769892,0.030917
Commodity-elite,1.5,3.75,0.196349,-0.296608,-0.189761,-0.296131,-0.412101,-0.186949,-0.23335,0.202845,-0.0
Mid,1.5,2.25,0.362123,-0.29145,-0.187751,-0.241836,-0.331236,-0.090481,-0.207452,-0.0743,-0.0
Small,1.5,2.325,0.347958,-0.341516,-0.271426,-0.102155,-0.198942,0.005584,-0.092333,-0.193917,-0.0
Premium,2.0,2.6,0.381841,-0.048756,-0.016647,-0.055193,-0.304737,-0.118506,0.011352,0.79414,0.047736
Commodity-elite,2.0,5.0,0.157655,-0.289263,-0.204066,-0.305679,-0.42607,-0.206266,-0.240505,0.226834,-0.0
Mid,2.0,3.0,0.284779,-0.266917,-0.211623,-0.259091,-0.368328,-0.140927,-0.217077,0.035744,-0.0
Small,2.0,3.1,0.274055,-0.321716,-0.293436,-0.142082,-0.256909,-0.067184,-0.124416,-0.108161,-0.0
